id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
99108,Male,disloyal Customer,80,Business travel,Eco,181,4,3,4,3,1,4,1,1,3,2,5,3,5,1,0,0.0
76979,Male,Loyal Customer,65,Personal Travel,Eco,1969,1,5,1,3,1,1,1,1,4,5,5,5,5,1,67,43.0
97853,Male,Loyal Customer,41,Business travel,Business,612,2,2,2,2,5,4,4,5,5,5,5,5,5,4,0,0.0
29914,Female,Loyal Customer,60,Business travel,Eco,123,5,1,1,1,5,2,2,5,5,5,5,1,5,4,0,0.0
31962,Female,Loyal Customer,47,Business travel,Business,3405,3,3,3,3,4,4,4,4,4,4,4,3,4,4,0,0.0
108502,Male,disloyal Customer,40,Business travel,Business,287,4,4,4,3,5,4,5,5,4,2,2,1,1,5,0,0.0
115763,Male,Loyal Customer,65,Business travel,Business,1695,3,3,3,3,4,4,5,5,5,4,5,4,5,4,0,0.0
56046,Male,disloyal Customer,24,Business travel,Eco,1130,2,2,2,4,2,5,1,4,2,3,4,1,1,1,0,0.0
85700,Male,Loyal Customer,37,Business travel,Business,3425,3,3,3,3,1,2,5,4,4,4,4,1,4,2,8,0.0
81900,Female,Loyal Customer,55,Business travel,Eco,680,1,3,3,3,1,3,3,1,1,1,1,3,1,4,0,0.0
112531,Male,Loyal Customer,17,Personal Travel,Eco,957,4,4,4,1,5,4,5,5,3,3,4,4,4,5,0,0.0
112496,Male,Loyal Customer,59,Personal Travel,Eco,850,2,5,2,3,3,2,3,3,4,2,4,5,4,3,13,5.0
17166,Female,Loyal Customer,27,Business travel,Eco,643,4,5,4,5,4,4,4,4,5,5,5,4,5,4,0,0.0
103685,Female,disloyal Customer,34,Business travel,Eco,405,3,2,3,4,1,3,1,1,2,5,3,3,4,1,10,2.0
116865,Female,Loyal Customer,36,Business travel,Business,3470,4,4,4,4,2,4,5,2,2,2,2,4,2,4,36,24.0
34680,Male,Loyal Customer,20,Business travel,Eco,264,5,3,3,3,5,5,5,5,3,4,3,5,4,5,12,13.0
25917,Male,disloyal Customer,26,Business travel,Eco,594,2,0,2,5,2,2,2,2,1,3,3,1,1,2,6,5.0
1261,Male,Loyal Customer,63,Personal Travel,Eco,113,2,1,2,4,1,2,4,1,1,5,4,4,4,1,0,0.0
65425,Male,disloyal Customer,49,Business travel,Business,2165,2,2,2,2,3,2,1,3,3,5,5,3,5,3,56,25.0
98072,Male,Loyal Customer,44,Business travel,Eco,1449,2,2,5,2,2,2,2,2,3,4,3,4,3,2,88,106.0
10661,Female,Loyal Customer,46,Business travel,Business,201,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,6.0
72328,Male,Loyal Customer,59,Business travel,Business,1939,4,4,4,4,2,4,4,4,4,4,4,3,4,3,0,0.0
24387,Female,Loyal Customer,68,Personal Travel,Eco,669,4,4,4,1,5,4,4,2,2,4,2,4,2,3,0,0.0
82043,Female,Loyal Customer,22,Personal Travel,Eco,1589,3,4,3,4,3,3,3,3,4,2,3,4,5,3,0,0.0
118711,Female,Loyal Customer,66,Personal Travel,Eco,338,5,3,1,2,3,2,4,2,2,1,2,5,2,5,16,16.0
38692,Male,Loyal Customer,55,Business travel,Business,2342,2,4,3,4,2,3,4,2,2,2,2,3,2,1,36,19.0
99135,Male,Loyal Customer,25,Personal Travel,Eco,181,2,5,0,2,3,0,3,3,3,5,5,4,4,3,0,0.0
12937,Female,Loyal Customer,43,Personal Travel,Eco,456,1,1,1,3,5,3,3,4,4,1,4,3,4,1,0,10.0
91604,Female,Loyal Customer,48,Business travel,Business,1184,3,3,3,3,1,4,3,3,3,3,3,1,3,2,0,0.0
41756,Male,Loyal Customer,27,Business travel,Business,2862,1,1,1,1,5,5,5,5,4,1,1,3,1,5,10,24.0
60478,Male,Loyal Customer,51,Business travel,Business,862,5,5,4,5,3,5,5,4,4,4,4,4,4,5,0,0.0
118895,Male,disloyal Customer,45,Business travel,Business,570,3,3,3,1,5,3,5,5,3,2,5,4,5,5,0,0.0
67243,Female,Loyal Customer,31,Personal Travel,Eco,985,3,4,3,3,1,3,1,1,5,4,5,5,5,1,0,11.0
36381,Female,disloyal Customer,23,Business travel,Eco,200,2,3,2,4,2,1,1,2,1,3,3,1,2,1,287,274.0
66489,Male,Loyal Customer,19,Business travel,Business,3675,4,1,2,2,4,3,4,4,4,2,3,3,3,4,0,0.0
110171,Male,Loyal Customer,32,Personal Travel,Eco,1072,1,2,1,4,3,1,3,3,3,2,4,2,4,3,0,0.0
13792,Female,disloyal Customer,42,Business travel,Eco Plus,837,2,2,2,3,5,2,5,5,2,3,1,5,3,5,0,20.0
49169,Male,Loyal Customer,53,Business travel,Eco,372,4,2,2,2,4,4,4,4,2,3,2,2,4,4,12,3.0
51456,Male,Loyal Customer,49,Personal Travel,Eco Plus,109,2,5,2,1,3,2,3,3,5,2,1,3,1,3,0,0.0
47645,Female,Loyal Customer,16,Business travel,Business,1504,1,1,1,1,4,4,4,4,5,1,2,2,5,4,0,0.0
128725,Male,Loyal Customer,38,Personal Travel,Eco,1464,4,4,4,3,2,4,4,2,3,3,4,1,4,2,0,0.0
53424,Male,disloyal Customer,26,Business travel,Eco,2419,1,1,1,4,1,3,4,1,4,2,4,4,1,4,0,13.0
83858,Male,Loyal Customer,57,Personal Travel,Eco,425,3,1,3,3,5,3,5,5,2,4,3,3,2,5,127,118.0
78051,Male,Loyal Customer,64,Personal Travel,Eco,214,4,3,4,4,5,4,5,5,3,1,3,1,3,5,0,4.0
56834,Female,Loyal Customer,50,Personal Travel,Eco,1605,2,3,2,3,4,2,3,4,4,2,3,1,4,3,6,19.0
80113,Male,Loyal Customer,60,Personal Travel,Eco,1626,2,3,2,1,2,2,2,2,2,3,5,4,5,2,0,0.0
29510,Male,Loyal Customer,50,Business travel,Eco Plus,1216,4,4,4,4,4,4,4,4,1,1,2,2,5,4,10,0.0
115843,Female,Loyal Customer,47,Business travel,Eco,342,4,2,2,2,5,1,4,4,4,4,4,4,4,3,0,0.0
39801,Female,Loyal Customer,36,Business travel,Eco,272,4,3,3,3,4,4,4,4,3,4,4,3,2,4,49,58.0
30030,Female,disloyal Customer,37,Business travel,Eco,261,1,1,1,4,3,1,3,3,1,1,4,4,4,3,0,0.0
126464,Female,Loyal Customer,57,Business travel,Business,1788,2,2,2,2,3,5,5,4,4,4,4,3,4,5,0,12.0
89064,Female,Loyal Customer,34,Business travel,Business,1892,4,4,2,4,4,5,5,4,4,4,4,5,4,4,29,37.0
105955,Male,disloyal Customer,22,Business travel,Eco,2295,4,4,4,4,3,4,3,3,3,2,3,4,4,3,3,0.0
70090,Female,disloyal Customer,23,Business travel,Eco,550,2,5,2,2,4,2,4,4,4,2,4,5,4,4,0,3.0
32215,Female,Loyal Customer,42,Business travel,Eco,101,5,2,2,2,3,3,3,5,5,5,5,2,5,3,3,7.0
51635,Male,disloyal Customer,39,Business travel,Eco,370,3,4,3,3,3,3,3,3,2,1,4,4,4,3,7,1.0
118812,Female,Loyal Customer,41,Business travel,Business,3457,5,5,5,5,5,4,4,5,5,5,5,4,5,5,0,0.0
78748,Female,Loyal Customer,37,Business travel,Eco,432,4,5,5,5,4,3,4,4,1,5,4,1,4,4,0,0.0
22079,Male,Loyal Customer,56,Business travel,Business,3472,1,1,5,1,2,5,4,5,5,5,5,3,5,4,94,95.0
11180,Male,Loyal Customer,55,Personal Travel,Eco,224,4,4,4,1,2,4,2,2,3,5,4,5,4,2,0,0.0
15942,Male,Loyal Customer,26,Personal Travel,Eco,738,4,5,4,1,1,4,1,1,4,4,5,5,4,1,0,5.0
1561,Male,Loyal Customer,53,Business travel,Business,3373,3,3,5,3,3,4,5,5,5,5,4,5,5,5,0,0.0
4884,Female,Loyal Customer,37,Personal Travel,Eco,408,4,1,3,4,2,3,2,2,3,4,3,1,3,2,0,16.0
36734,Male,Loyal Customer,56,Business travel,Eco,1754,2,1,1,1,2,2,2,2,2,1,4,1,4,2,0,0.0
92400,Female,Loyal Customer,43,Business travel,Business,1892,5,5,1,5,2,3,5,5,5,5,5,4,5,4,0,0.0
37657,Female,Loyal Customer,15,Personal Travel,Eco,1035,2,1,2,2,1,2,1,1,4,1,3,2,3,1,10,0.0
84395,Male,Loyal Customer,25,Business travel,Eco,606,4,2,4,4,4,4,2,4,1,3,4,4,4,4,13,0.0
36306,Male,Loyal Customer,40,Business travel,Eco,187,4,1,4,1,4,4,4,4,2,1,4,3,5,4,1,37.0
126029,Male,Loyal Customer,53,Business travel,Business,507,3,3,3,3,2,4,5,5,5,5,5,3,5,3,0,0.0
77069,Male,Loyal Customer,39,Business travel,Business,3789,3,5,3,5,1,4,3,3,3,3,3,4,3,1,21,12.0
99579,Female,Loyal Customer,35,Business travel,Business,2000,2,2,2,2,5,2,2,5,5,5,5,2,5,4,3,19.0
26740,Male,Loyal Customer,43,Personal Travel,Eco Plus,270,4,4,4,1,5,4,5,5,3,5,5,5,5,5,0,0.0
55886,Female,Loyal Customer,30,Business travel,Business,3754,3,3,3,3,4,4,4,4,4,4,5,4,5,4,0,0.0
8586,Male,Loyal Customer,31,Personal Travel,Eco,308,5,3,5,4,5,5,2,5,3,4,3,2,3,5,0,0.0
763,Female,Loyal Customer,40,Business travel,Business,3184,3,3,3,3,2,4,5,4,4,4,5,4,4,3,0,0.0
39026,Female,Loyal Customer,11,Personal Travel,Eco,113,3,4,3,3,4,3,4,4,4,1,4,3,3,4,0,43.0
39786,Male,Loyal Customer,49,Business travel,Business,221,3,3,3,3,4,5,4,5,5,5,4,4,5,4,0,0.0
46074,Female,disloyal Customer,23,Business travel,Eco,495,4,0,4,4,5,4,5,5,5,1,4,2,4,5,3,5.0
5837,Male,Loyal Customer,60,Business travel,Eco Plus,157,2,3,3,3,2,2,2,2,3,3,2,2,4,2,0,0.0
72135,Female,Loyal Customer,23,Business travel,Business,2207,2,3,3,3,2,2,2,2,2,5,3,2,3,2,0,0.0
72342,Male,disloyal Customer,45,Business travel,Business,1119,1,1,1,1,1,1,1,1,1,5,2,1,1,1,0,0.0
98149,Female,disloyal Customer,22,Business travel,Eco,745,3,3,3,2,4,3,4,4,4,4,3,2,2,4,118,113.0
60084,Female,Loyal Customer,21,Business travel,Business,1182,1,1,1,1,3,4,3,3,4,3,5,4,4,3,41,43.0
79747,Male,Loyal Customer,21,Business travel,Eco Plus,762,3,1,1,1,3,4,4,3,2,4,5,2,2,3,0,0.0
51466,Male,Loyal Customer,28,Business travel,Eco Plus,89,0,0,0,4,3,0,3,3,3,5,2,1,1,3,0,0.0
93290,Female,Loyal Customer,15,Personal Travel,Eco,564,3,5,3,3,1,3,1,1,3,4,4,4,4,1,0,1.0
129030,Female,Loyal Customer,7,Personal Travel,Eco Plus,2611,2,4,2,3,2,2,2,4,5,4,3,2,4,2,36,16.0
33863,Female,Loyal Customer,10,Personal Travel,Eco,1562,2,4,2,4,3,2,3,3,1,3,3,3,3,3,10,0.0
37822,Female,Loyal Customer,60,Business travel,Business,2777,4,4,4,4,3,5,5,3,3,4,3,5,3,5,0,0.0
16949,Female,Loyal Customer,55,Personal Travel,Eco Plus,820,3,2,3,4,5,3,4,4,4,3,4,1,4,4,18,27.0
47263,Female,Loyal Customer,37,Personal Travel,Business,588,2,5,2,5,2,3,3,4,3,5,5,3,5,3,154,140.0
27605,Female,Loyal Customer,45,Personal Travel,Eco,605,2,4,2,4,5,4,5,4,4,2,4,3,4,4,0,0.0
49461,Female,Loyal Customer,55,Business travel,Business,373,1,1,1,1,5,3,5,5,5,5,5,1,5,5,4,7.0
10550,Female,disloyal Customer,37,Business travel,Business,247,1,0,0,3,3,0,3,3,3,4,5,4,5,3,0,0.0
126105,Male,disloyal Customer,52,Business travel,Eco,600,1,2,1,3,3,1,3,3,2,4,3,4,4,3,2,9.0
85449,Female,Loyal Customer,26,Business travel,Business,1607,3,1,3,1,2,2,3,2,4,5,3,4,3,2,8,9.0
89110,Female,disloyal Customer,7,Business travel,Eco,1386,4,4,4,4,2,4,2,2,3,2,5,4,5,2,4,0.0
61839,Male,Loyal Customer,54,Business travel,Business,1379,1,1,1,1,2,4,4,4,4,4,4,3,4,5,4,0.0
43089,Female,Loyal Customer,15,Personal Travel,Eco,236,2,5,0,2,5,0,5,5,4,5,4,3,5,5,0,0.0
87584,Male,Loyal Customer,46,Personal Travel,Eco,432,1,4,1,4,4,1,4,4,4,1,4,1,4,4,4,0.0
64568,Male,disloyal Customer,21,Business travel,Eco,247,0,0,0,4,2,0,2,2,3,2,4,4,4,2,3,4.0
23840,Female,Loyal Customer,20,Personal Travel,Eco,705,4,4,4,3,4,4,4,4,4,2,4,4,4,4,120,127.0
37803,Female,Loyal Customer,68,Personal Travel,Eco Plus,950,2,1,2,1,3,1,1,3,3,2,5,2,3,3,28,22.0
31078,Male,Loyal Customer,29,Business travel,Eco Plus,641,1,3,4,4,1,2,1,1,3,3,4,3,4,1,0,2.0
63817,Male,Loyal Customer,42,Business travel,Business,1623,5,5,5,5,5,4,5,3,3,3,3,4,3,3,0,0.0
60859,Female,disloyal Customer,46,Business travel,Business,1491,1,1,1,4,1,1,2,1,4,3,5,3,4,1,5,0.0
125879,Female,Loyal Customer,61,Business travel,Business,592,2,5,5,5,2,2,1,2,2,2,2,2,2,1,15,5.0
22221,Female,Loyal Customer,32,Business travel,Eco Plus,773,4,5,5,5,4,4,4,4,5,1,3,4,4,4,12,14.0
120702,Male,Loyal Customer,19,Personal Travel,Eco,280,1,1,1,4,4,1,1,4,3,1,3,1,3,4,4,0.0
123022,Female,disloyal Customer,22,Business travel,Business,507,0,5,0,2,3,0,3,3,3,2,5,4,5,3,0,0.0
76315,Male,Loyal Customer,39,Business travel,Business,2182,1,1,1,1,3,1,2,1,1,1,1,3,1,1,3,5.0
85944,Male,Loyal Customer,41,Business travel,Business,3968,3,3,3,3,5,4,4,5,5,5,5,5,5,4,6,13.0
99930,Female,disloyal Customer,45,Business travel,Eco,764,4,3,3,4,4,3,4,4,2,5,4,1,3,4,59,69.0
13416,Female,Loyal Customer,47,Business travel,Business,409,4,4,4,4,3,4,2,4,4,4,4,4,4,5,0,0.0
120258,Female,Loyal Customer,62,Business travel,Business,2884,5,5,5,5,5,5,4,5,5,5,5,4,5,4,0,0.0
54499,Female,disloyal Customer,26,Business travel,Eco,925,1,2,2,3,3,2,1,3,3,3,4,4,4,3,6,1.0
6558,Male,Loyal Customer,56,Business travel,Business,3255,3,3,3,3,2,4,4,5,5,5,5,5,5,4,22,15.0
12319,Female,disloyal Customer,24,Business travel,Eco,190,2,2,2,3,1,2,1,1,4,5,3,4,3,1,35,41.0
14955,Male,Loyal Customer,45,Personal Travel,Eco,554,4,3,4,3,4,4,4,4,4,1,4,5,5,4,0,0.0
4708,Female,Loyal Customer,23,Business travel,Eco Plus,489,4,2,2,2,4,4,4,3,3,4,3,4,3,4,205,225.0
80867,Female,Loyal Customer,64,Personal Travel,Eco,484,4,4,4,2,3,2,1,1,1,4,1,3,1,2,40,41.0
9267,Male,disloyal Customer,22,Business travel,Business,441,5,3,5,3,5,5,5,5,5,5,5,5,4,5,1,0.0
13884,Male,Loyal Customer,49,Business travel,Eco,578,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179.0
100950,Male,Loyal Customer,14,Business travel,Business,3207,3,3,3,3,5,5,5,5,5,5,5,4,4,5,0,1.0
13998,Female,disloyal Customer,39,Business travel,Eco,160,2,5,2,3,5,2,5,5,3,3,4,3,3,5,11,0.0
86545,Female,disloyal Customer,40,Business travel,Business,762,3,3,3,4,2,3,2,2,4,4,5,4,5,2,1,0.0
123043,Female,disloyal Customer,22,Business travel,Eco,507,2,0,3,2,3,3,3,3,4,4,4,5,4,3,0,0.0
108097,Male,Loyal Customer,62,Business travel,Eco,849,2,1,1,1,2,2,2,2,2,4,3,1,3,2,31,46.0
56658,Female,disloyal Customer,41,Business travel,Business,537,3,3,3,2,2,4,2,2,4,2,4,1,1,2,0,0.0
70435,Female,Loyal Customer,55,Business travel,Business,2542,4,2,4,4,2,4,5,4,4,4,5,3,4,4,0,0.0
23900,Male,Loyal Customer,48,Business travel,Eco,579,2,2,4,4,2,2,2,2,2,2,3,2,2,2,0,0.0
7808,Female,Loyal Customer,39,Business travel,Business,650,3,3,3,3,2,4,4,5,5,5,5,5,5,3,0,0.0
56932,Male,Loyal Customer,26,Business travel,Business,2425,4,4,4,4,5,4,4,5,2,4,5,4,4,4,0,0.0
65152,Female,Loyal Customer,68,Personal Travel,Eco,551,2,3,2,3,5,4,5,5,5,2,5,3,5,2,0,0.0
7235,Male,Loyal Customer,37,Business travel,Business,1543,2,5,5,5,2,1,2,3,3,3,2,2,3,3,0,0.0
10458,Female,Loyal Customer,61,Business travel,Business,3114,3,3,3,3,4,5,5,3,3,4,3,5,3,4,66,67.0
95761,Male,Loyal Customer,14,Personal Travel,Eco,237,2,5,2,1,2,2,2,2,4,5,4,4,5,2,34,20.0
15234,Female,disloyal Customer,39,Business travel,Business,416,2,2,2,2,2,2,5,2,5,2,2,2,4,2,0,0.0
85247,Male,Loyal Customer,39,Personal Travel,Eco,689,1,4,2,1,1,2,1,1,5,5,4,3,4,1,10,2.0
77260,Male,Loyal Customer,7,Personal Travel,Eco,1590,1,4,1,5,3,1,3,3,5,4,4,3,4,3,0,4.0
41026,Female,disloyal Customer,60,Business travel,Eco,1087,1,0,0,3,5,0,5,5,1,4,2,1,2,5,0,0.0
126749,Male,Loyal Customer,9,Personal Travel,Eco,2370,3,5,3,1,4,3,4,4,4,3,4,5,3,4,0,0.0
69506,Male,disloyal Customer,17,Business travel,Eco,1746,1,1,1,4,5,1,5,5,3,5,4,2,3,5,15,23.0
41726,Female,Loyal Customer,45,Business travel,Eco,695,4,3,3,3,5,4,4,4,4,4,4,5,4,4,0,0.0
16748,Female,Loyal Customer,31,Business travel,Business,1802,4,4,5,4,4,5,4,4,2,4,5,2,1,4,4,0.0
83217,Male,Loyal Customer,28,Business travel,Business,1979,3,4,4,4,3,3,3,3,1,3,3,2,3,3,2,16.0
90295,Female,disloyal Customer,20,Business travel,Eco,479,0,0,0,1,4,0,4,4,1,1,1,3,1,4,0,0.0
28876,Female,disloyal Customer,29,Business travel,Eco,978,1,1,1,4,5,1,5,5,3,2,3,2,1,5,0,0.0
63483,Male,Loyal Customer,22,Personal Travel,Eco Plus,337,1,4,1,2,1,1,1,1,4,5,4,3,4,1,0,0.0
74052,Male,Loyal Customer,16,Personal Travel,Eco,1194,2,4,2,1,4,2,1,4,5,4,5,3,4,4,3,13.0
50696,Female,Loyal Customer,41,Personal Travel,Eco,86,2,3,2,2,2,2,2,2,3,5,1,5,5,2,0,0.0
118757,Female,Loyal Customer,42,Personal Travel,Eco,370,3,0,3,4,2,5,4,5,5,3,5,3,5,4,0,0.0
96587,Male,Loyal Customer,52,Business travel,Business,2108,3,3,3,3,2,4,4,5,5,5,5,5,5,4,0,3.0
17725,Male,disloyal Customer,20,Business travel,Eco,456,1,0,1,4,4,1,4,4,2,5,4,4,2,4,14,6.0
51960,Male,disloyal Customer,24,Business travel,Eco,347,3,0,3,1,5,3,5,5,3,5,4,5,3,5,0,0.0
55614,Male,Loyal Customer,32,Personal Travel,Eco,404,2,4,2,3,4,2,4,4,3,2,4,3,5,4,20,0.0
118101,Female,Loyal Customer,50,Business travel,Business,1999,5,5,5,5,3,5,5,4,4,4,4,4,4,5,3,0.0
44652,Male,Loyal Customer,34,Business travel,Business,3066,4,4,4,4,3,1,4,3,3,4,3,1,3,2,0,4.0
22956,Male,Loyal Customer,49,Business travel,Business,2092,5,5,3,5,3,1,5,4,4,4,4,4,4,5,0,0.0
12080,Female,Loyal Customer,26,Business travel,Eco Plus,376,4,4,4,4,5,5,4,5,1,2,4,3,1,5,0,0.0
46050,Female,Loyal Customer,13,Personal Travel,Eco,996,1,5,1,3,2,1,2,2,3,3,5,4,4,2,0,0.0
69603,Male,Loyal Customer,40,Personal Travel,Eco,2475,2,1,2,4,2,1,2,1,2,3,4,2,4,2,2,0.0
35573,Male,Loyal Customer,50,Business travel,Eco Plus,1069,5,2,2,2,5,5,5,5,2,1,1,4,1,5,0,5.0
58760,Female,Loyal Customer,44,Business travel,Business,3464,5,5,4,5,2,5,4,5,5,5,5,4,5,3,8,0.0
55129,Male,Loyal Customer,67,Personal Travel,Eco,1635,2,4,2,1,4,2,4,4,3,5,5,5,5,4,1,0.0
86897,Male,Loyal Customer,59,Business travel,Business,341,2,2,5,2,5,4,5,4,4,4,4,5,4,4,8,15.0
79547,Female,disloyal Customer,42,Business travel,Business,712,5,5,5,3,3,5,5,3,5,5,4,3,5,3,0,0.0
118614,Male,Loyal Customer,42,Business travel,Business,1832,1,1,1,1,5,4,4,4,4,4,4,3,4,5,0,0.0
2779,Male,Loyal Customer,52,Business travel,Business,764,3,3,3,3,3,4,5,5,5,5,5,5,5,5,3,0.0
47339,Female,Loyal Customer,27,Business travel,Eco,588,5,3,3,3,5,5,5,5,4,4,4,1,3,5,0,0.0
33130,Male,Loyal Customer,14,Personal Travel,Eco,102,4,4,4,4,3,4,3,3,2,4,4,5,1,3,0,0.0
122440,Female,Loyal Customer,64,Personal Travel,Eco Plus,1916,4,4,4,2,5,5,4,5,5,4,5,4,5,5,0,0.0
64349,Male,disloyal Customer,71,Business travel,Business,1212,1,0,0,3,4,1,4,4,4,5,4,5,4,4,0,0.0
22414,Female,disloyal Customer,18,Business travel,Eco,143,2,3,2,4,1,2,1,1,4,4,5,1,5,1,0,5.0
105837,Male,Loyal Customer,60,Personal Travel,Eco,925,3,1,3,4,3,3,3,3,2,1,3,1,4,3,3,0.0
73688,Male,disloyal Customer,27,Business travel,Business,204,2,2,2,4,3,2,3,3,4,2,5,3,4,3,0,0.0
54722,Female,Loyal Customer,28,Personal Travel,Eco,787,0,4,1,4,3,1,3,3,3,3,5,5,4,3,0,0.0
64428,Female,Loyal Customer,45,Business travel,Business,3502,5,5,4,5,3,4,4,4,4,5,4,4,4,3,93,87.0
74785,Male,Loyal Customer,45,Business travel,Business,3366,5,5,5,5,3,4,5,5,5,5,5,5,5,3,0,3.0
82719,Female,Loyal Customer,62,Personal Travel,Eco,632,4,4,4,2,2,4,5,2,2,4,2,3,2,4,0,0.0
114630,Male,Loyal Customer,58,Business travel,Business,362,5,2,5,5,5,5,5,4,4,4,4,3,4,3,6,7.0
127289,Female,Loyal Customer,53,Business travel,Business,2911,4,4,4,4,2,5,5,5,5,5,5,4,5,4,0,0.0
108941,Female,Loyal Customer,48,Personal Travel,Eco,1066,3,4,3,3,5,4,4,2,2,3,4,2,2,2,13,4.0
54072,Female,Loyal Customer,52,Business travel,Business,1416,1,1,1,1,3,3,4,1,1,1,1,2,1,3,70,65.0
12946,Male,Loyal Customer,26,Personal Travel,Eco,775,1,4,1,5,5,1,5,5,2,2,5,5,4,5,54,44.0
10918,Male,disloyal Customer,37,Business travel,Business,166,4,4,4,1,5,4,5,5,5,2,4,3,5,5,0,0.0
49701,Male,Loyal Customer,36,Business travel,Business,1538,0,1,1,4,3,3,4,3,3,3,3,4,3,4,0,2.0
102600,Male,Loyal Customer,41,Personal Travel,Eco Plus,197,3,4,0,3,5,0,5,5,4,3,4,3,4,5,64,65.0
125200,Male,Loyal Customer,24,Business travel,Eco,651,5,2,2,2,5,4,2,5,2,2,4,1,4,5,2,0.0
117446,Female,Loyal Customer,77,Business travel,Business,2859,3,3,3,3,3,3,2,3,3,3,3,4,3,1,0,4.0
87096,Female,Loyal Customer,26,Business travel,Business,3043,2,2,2,2,2,2,2,2,4,4,1,2,2,2,8,8.0
89679,Female,Loyal Customer,48,Business travel,Business,550,3,3,3,3,4,5,5,5,5,5,5,1,5,4,3,0.0
41213,Female,disloyal Customer,56,Business travel,Eco,691,2,2,2,5,1,2,2,1,5,5,2,1,1,1,4,0.0
454,Male,Loyal Customer,59,Business travel,Business,312,1,1,1,1,2,4,4,5,5,5,5,3,5,5,26,18.0
47298,Female,Loyal Customer,44,Business travel,Business,588,1,1,1,1,4,5,5,2,2,2,2,1,2,5,0,4.0
74936,Male,Loyal Customer,58,Business travel,Business,2475,3,3,3,3,5,4,5,5,5,5,5,4,5,3,0,0.0
40935,Female,disloyal Customer,52,Business travel,Eco Plus,590,2,2,2,3,1,2,1,1,3,1,3,3,2,1,0,0.0
121449,Male,Loyal Customer,45,Business travel,Business,2935,3,3,5,3,1,3,3,3,3,3,3,3,3,4,16,0.0
741,Male,disloyal Customer,39,Business travel,Business,158,1,1,1,4,4,1,4,4,4,2,4,3,4,4,0,0.0
31097,Female,Loyal Customer,50,Personal Travel,Eco,1014,3,4,3,4,2,4,3,2,2,3,3,1,2,3,12,4.0
114652,Female,Loyal Customer,30,Business travel,Business,2159,1,1,3,1,5,5,5,5,5,5,4,5,4,5,7,0.0
77629,Female,Loyal Customer,54,Business travel,Business,3936,2,2,2,2,4,5,4,5,5,5,5,4,5,5,0,0.0
86265,Male,Loyal Customer,56,Personal Travel,Eco,356,1,4,2,4,2,2,4,2,2,1,4,3,5,2,0,21.0
3585,Female,disloyal Customer,30,Business travel,Business,999,3,3,3,2,5,3,1,5,3,5,5,5,5,5,3,0.0
37195,Female,disloyal Customer,50,Business travel,Eco Plus,1046,1,1,1,4,2,1,2,2,4,1,3,1,4,2,10,8.0
71727,Female,Loyal Customer,67,Personal Travel,Eco,1007,2,4,2,1,4,5,4,2,2,2,2,5,2,4,119,104.0
94718,Male,Loyal Customer,31,Business travel,Eco,239,1,3,3,3,1,1,1,1,2,1,4,4,4,1,21,26.0
50412,Female,Loyal Customer,42,Business travel,Business,3667,3,3,3,3,5,3,4,3,3,4,3,2,3,4,0,0.0
6814,Male,Loyal Customer,26,Personal Travel,Eco,122,4,4,4,3,5,4,5,5,3,1,4,3,3,5,1,0.0
117430,Male,Loyal Customer,33,Business travel,Eco Plus,1460,3,1,3,1,3,3,3,3,2,1,3,2,3,3,45,33.0
94395,Female,disloyal Customer,24,Business travel,Business,458,5,0,5,4,5,5,5,5,5,3,4,5,4,5,6,4.0
1894,Female,Loyal Customer,41,Personal Travel,Business,351,2,5,2,2,4,4,5,1,1,2,1,4,1,4,13,10.0
126323,Male,Loyal Customer,41,Personal Travel,Eco,631,3,4,3,4,2,3,2,2,5,4,4,4,5,2,45,23.0
39976,Male,Loyal Customer,52,Business travel,Eco,1404,2,3,5,3,2,2,2,2,4,2,3,1,4,2,0,0.0
129853,Female,Loyal Customer,30,Personal Travel,Eco,447,1,2,1,4,1,4,4,3,3,4,4,4,3,4,145,138.0
74000,Female,Loyal Customer,56,Personal Travel,Eco,1972,4,2,4,3,5,3,3,3,3,4,3,3,3,2,0,0.0
7575,Female,disloyal Customer,43,Business travel,Business,594,4,4,4,4,4,4,4,4,5,3,5,5,4,4,11,0.0
16468,Female,Loyal Customer,35,Personal Travel,Eco,416,2,3,2,4,1,2,1,1,3,2,4,2,3,1,0,0.0
99461,Male,Loyal Customer,57,Business travel,Business,283,3,3,3,3,5,4,5,3,3,4,3,4,3,3,9,1.0
46364,Male,disloyal Customer,29,Business travel,Business,1081,4,4,4,3,2,4,1,2,2,1,2,3,1,2,0,0.0
19069,Male,disloyal Customer,29,Business travel,Eco,569,4,3,4,3,2,4,2,2,3,3,4,1,4,2,0,0.0
2541,Female,Loyal Customer,56,Business travel,Business,280,4,4,4,4,4,5,4,5,5,5,5,4,5,3,10,4.0
16375,Male,Loyal Customer,55,Business travel,Business,3249,3,4,4,4,4,2,2,3,3,3,3,1,3,1,74,116.0
